Date,Sentiment_Score
2016-01-01,0.25
2016-01-02,0.0
2016-01-03,0.0
2016-01-04,-0.0794
2016-01-05,-0.1449
2016-01-06,-0.2247
2016-01-07,-0.2923
2016-01-08,-0.1111
2016-01-09,-0.2
2016-01-10,0.2
2016-01-11,-0.1613
2016-01-12,0.0
2016-01-13,-0.2143
2016-01-14,0.0175
2016-01-15,-0.1786
2016-01-16,0.0
2016-01-17,-0.3
2016-01-18,-0.1538
2016-01-19,-0.1154
2016-01-20,-0.0986
2016-01-21,0.0333
2016-01-22,-0.0135
2016-01-23,-0.1667
2016-01-24,-0.2105
2016-01-25,-0.3061
2016-01-26,-0.1266
2016-01-27,-0.2845
2016-01-28,-0.0811
2016-01-29,-0.2381
2016-01-30,0.0714
2016-01-31,-0.3333
2016-02-01,-0.02
2016-02-02,-0.1905
2016-02-03,-0.0588
2016-02-04,-0.1538
2016-02-05,-0.1778
2016-02-06,-0.4
2016-02-07,-0.4167
2016-02-08,-0.439
2016-02-09,-0.3947
2016-02-10,-0.05
2016-02-11,-0.1961
2016-02-12,-0.1633
2016-02-13,-0.3846
2016-02-14,-0.0588
2016-02-15,-0.069
2016-02-16,-0.102
2016-02-17,-0.2991
2016-02-18,-0.12
2016-02-19,-0.2667
2016-02-20,-0.25
2016-02-21,-0.1081
2016-02-22,-0.3068
2016-02-23,-0.1412
2016-02-24,-0.1413
2016-02-25,-0.2368
2016-02-26,-0.1519
2016-02-27,-0.2609
2016-02-28,-0.1875
2016-02-29,-0.2
2016-03-01,-0.2233
2016-03-02,-0.2121
2016-03-03,-0.2308
2016-03-04,-0.1455
2016-03-05,-0.45
2016-03-06,-0.4737
2016-03-07,-0.3803
2016-03-08,-0.1224
2016-03-09,-0.25
2016-03-10,-0.2195
2016-03-11,-0.1324
2016-03-12,-0.2
2016-03-13,-0.3333
2016-03-14,-0.1887
2016-03-15,-0.2769
2016-03-16,0.0156
2016-03-17,-0.1429
2016-03-18,0.0698
2016-03-19,-0.1818
2016-03-20,-0.1818
2016-03-21,-0.1793
2016-03-22,-0.2821
2016-03-23,-0.2055
2016-03-24,-0.1711
2016-03-25,-0.0938
2016-03-26,-0.1176
2016-03-27,-0.3077
2016-03-28,-0.3966
2016-03-29,-0.1647
2016-03-30,-0.0404
2016-03-31,-0.2239
2016-04-01,-0.0676
2016-04-02,-0.0769
2016-04-03,0.1176
2016-04-04,-0.0769
2016-04-05,-0.1475
2016-04-06,0.0
2016-04-07,-0.1111
2016-04-08,-0.1373
2016-04-09,-0.3125
2016-04-10,-0.1875
2016-04-11,-0.1702
2016-04-12,-0.1333
2016-04-13,-0.0508
2016-04-14,-0.172
2016-04-15,-0.2029
2016-04-16,-0.2917
2016-04-17,-0.125
2016-04-18,-0.2143
2016-04-19,-0.2619
2016-04-20,-0.1618
2016-04-21,-0.1552
2016-04-22,-0.2778
2016-04-23,-0.3333
2016-04-24,-0.1111
2016-04-25,-0.5
2016-04-26,-0.1951
2016-04-27,-0.3308
2016-04-28,-0.1667
2016-04-29,-0.1268
2016-04-30,0.0556
2016-05-01,-0.4167
2016-05-02,-0.1702
2016-05-03,-0.1795
2016-05-04,-0.1475
2016-05-05,-0.1127
2016-05-06,-0.275
2016-05-07,-0.2727
2016-05-08,-0.2308
2016-05-09,-0.0385
2016-05-10,-0.0769
2016-05-11,-0.2093
2016-05-12,-0.3239
2016-05-13,-0.127
2016-05-14,-0.1667
2016-05-15,-0.125
2016-05-16,-0.1304
2016-05-17,0.0115
2016-05-18,-0.037
2016-05-19,-0.0154
2016-05-20,0.0
2016-05-21,-0.1176
2016-05-22,-0.1429
2016-05-23,-0.0667
2016-05-24,-0.0606
2016-05-25,-0.1765
2016-05-26,-0.0566
2016-05-27,-0.0851
2016-05-28,-0.25
2016-05-29,0.0
2016-05-30,-0.25
2016-05-31,-0.0732
2016-06-01,-0.029
2016-06-02,-0.2241
2016-06-03,-0.0476
2016-06-04,-0.0769
2016-06-05,-0.1818
2016-06-06,0.0556
2016-06-07,-0.0392
2016-06-08,-0.0189
2016-06-09,-0.06
2016-06-10,-0.2549
2016-06-11,-0.125
2016-06-12,0.1
2016-06-13,-0.0345
2016-06-14,-0.0149
2016-06-15,0.05
2016-06-16,-0.1042
2016-06-17,-0.3235
2016-06-18,-0.4286
2016-06-19,-0.4
2016-06-20,-0.0351
2016-06-21,-0.2642
2016-06-22,-0.04
2016-06-23,-0.0222
2016-06-24,-0.2045
2016-06-25,-0.2143
2016-06-26,-0.1818
2016-06-27,-0.2692
2016-06-28,-0.1064
2016-06-29,-0.08
2016-06-30,-0.0714
2016-07-01,-0.2157
2016-07-02,-0.2727
2016-07-03,-0.0588
2016-07-04,0.0
2016-07-05,-0.1053
2016-07-06,0.1132
2016-07-07,-0.1176
2016-07-08,-0.0526
2016-07-09,-0.1429
2016-07-10,0.1667
2016-07-11,-0.0233
2016-07-12,-0.1404
2016-07-13,-0.0244
2016-07-14,-0.0545
2016-07-15,-0.1667
2016-07-16,-0.0769
2016-07-17,0.0
2016-07-18,0.0308
2016-07-19,-0.122
2016-07-20,-0.0698
2016-07-21,-0.1852
2016-07-22,-0.1628
2016-07-23,0.125
2016-07-24,-0.0909
2016-07-25,-0.2045
2016-07-26,-0.2989
2016-07-27,-0.1818
